binned_coordinates,updated_type,updated_subtype,hour,alert_count,binned_longitude,binned_latitude
"(-87.64, 41.86)",Accident,Major,00:00,10,-87.64,41.86
"(-87.64, 41.87)",Accident,Major,00:00,10,-87.64,41.87
"(-87.66, 41.9)",Accident,Major,00:00,9,-87.66,41.9
"(-87.65, 41.88)",Accident,Major,00:00,9,-87.65,41.88
"(-87.81, 41.98)",Accident,Major,00:00,7,-87.81,41.98
"(-87.61, 41.71)",Accident,Major,00:00,7,-87.61,41.71
"(-87.63, 41.78)",Accident,Major,00:00,6,-87.63,41.78
"(-87.77, 41.97)",Accident,Major,00:00,5,-87.77,41.97
"(-87.75, 41.99)",Accident,Major,00:00,5,-87.75,41.99
"(-87.64, 41.88)",Accident,Major,00:00,5,-87.64,41.88
"(-87.63, 41.78)",Accident,Major,01:00,12,-87.63,41.78
"(-87.65, 41.88)",Accident,Major,01:00,11,-87.65,41.88
"(-87.64, 41.87)",Accident,Major,01:00,9,-87.64,41.87
"(-87.65, 41.89)",Accident,Major,01:00,8,-87.65,41.89
"(-87.64, 41.86)",Accident,Major,01:00,8,-87.64,41.86
"(-87.66, 41.9)",Accident,Major,01:00,7,-87.66,41.9
"(-87.72, 41.87)",Accident,Major,01:00,6,-87.72,41.87
"(-87.63, 41.85)",Accident,Major,01:00,6,-87.63,41.85
"(-87.71, 41.83)",Accident,Major,01:00,5,-87.71,41.83
"(-87.66, 41.91)",Accident,Major,01:00,5,-87.66,41.91
"(-87.64, 41.86)",Accident,Major,02:00,11,-87.64,41.86
"(-87.66, 41.9)",Accident,Major,02:00,9,-87.66,41.9
"(-87.63, 41.81)",Accident,Major,02:00,9,-87.63,41.81
"(-87.64, 41.85)",Accident,Major,02:00,8,-87.64,41.85
"(-87.65, 41.88)",Accident,Major,02:00,6,-87.65,41.88
"(-87.64, 41.87)",Accident,Major,02:00,6,-87.64,41.87
"(-87.77, 41.87)",Accident,Major,02:00,5,-87.77,41.87
"(-87.65, 41.85)",Accident,Major,02:00,5,-87.65,41.85
"(-87.65, 41.89)",Accident,Major,02:00,5,-87.65,41.89
"(-87.63, 41.79)",Accident,Major,02:00,5,-87.63,41.79
"(-87.65, 41.88)",Accident,Major,03:00,14,-87.65,41.88
"(-87.66, 41.9)",Accident,Major,03:00,12,-87.66,41.9
"(-87.64, 41.86)",Accident,Major,03:00,12,-87.64,41.86
"(-87.65, 41.89)",Accident,Major,03:00,11,-87.65,41.89
"(-87.64, 41.87)",Accident,Major,03:00,9,-87.64,41.87
"(-87.63, 41.78)",Accident,Major,03:00,9,-87.63,41.78
"(-87.63, 41.81)",Accident,Major,03:00,9,-87.63,41.81
"(-87.63, 41.84)",Accident,Major,03:00,8,-87.63,41.84
"(-87.63, 41.8)",Accident,Major,03:00,7,-87.63,41.8
"(-87.67, 41.91)",Accident,Major,03:00,6,-87.67,41.91
"(-87.65, 41.88)",Accident,Major,04:00,15,-87.65,41.88
"(-87.64, 41.85)",Accident,Major,04:00,11,-87.64,41.85
"(-87.64, 41.87)",Accident,Major,04:00,10,-87.64,41.87
"(-87.63, 41.8)",Accident,Major,04:00,10,-87.63,41.8
"(-87.66, 41.9)",Accident,Major,04:00,9,-87.66,41.9
"(-87.63, 41.79)",Accident,Major,04:00,7,-87.63,41.79
"(-87.64, 41.86)",Accident,Major,04:00,6,-87.64,41.86
"(-87.63, 41.81)",Accident,Major,04:00,6,-87.63,41.81
"(-87.63, 41.84)",Accident,Major,04:00,6,-87.63,41.84
"(-87.65, 41.85)",Accident,Major,04:00,5,-87.65,41.85
"(-87.65, 41.88)",Accident,Major,05:00,17,-87.65,41.88
"(-87.64, 41.86)",Accident,Major,05:00,10,-87.64,41.86
"(-87.63, 41.77)",Accident,Major,05:00,8,-87.63,41.77
"(-87.63, 41.81)",Accident,Major,05:00,8,-87.63,41.81
"(-87.74, 41.96)",Accident,Major,05:00,6,-87.74,41.96
"(-87.63, 41.79)",Accident,Major,05:00,6,-87.63,41.79
"(-87.78, 41.98)",Accident,Major,05:00,5,-87.78,41.98
